centre_id,address,geometry,operating_hours
107,185 Fifth St,MULTIPOINT ((-79.50343066 43.603564725)),Weekend available
108,3735 Dundas St W,MULTIPOINT ((-79.499393828 43.665189036)),Full day
109,3381 Lake Shore Blvd W,MULTIPOINT ((-79.5271940528 43.59557452)),Morning only
110,350 Parliament St,MULTIPOINT ((-79.366955064 43.660824533)),Full day
111,50 Southlawn Dr,MULTIPOINT ((-79.291347867 43.796580758)),Full day
112,400 Rockcliffe Blvd,MULTIPOINT ((-79.488893823 43.673865137)),Other
113,136 Ingleton Blvd,MULTIPOINT ((-79.267470043 43.821788453)),Evening available
114,31 Tapscott Rd,MULTIPOINT ((-79.2220104681 43.8065931051)),Weekend available
115,1321 Neilson Rd,MULTIPOINT ((-79.218864561 43.808288047)),Weekend available
116,30 Sewells Rd,MULTIPOINT ((-79.216386233 43.808567708)),Morning only
117,90 Littles Rd,MULTIPOINT ((-79.205286682 43.818292292)),Weekend available
118,301 Culford Rd,MULTIPOINT ((-79.4902784881 43.7148592311)),Full day
119,246 The Esplanade,MULTIPOINT ((-79.364741398 43.649850379)),Full day
120,78 Mason Rd,MULTIPOINT ((-79.225654595 43.739056437)),Full day
121,155 McNicoll Ave,MULTIPOINT ((-79.358084393 43.798981667)),Evening available
122,4325 McCowan Rd,MULTIPOINT ((-79.274140964 43.829604216)),Full day
123,701 Military Trail,MULTIPOINT ((-79.197116974 43.78911549)),Full day
124,47 Station Rd,MULTIPOINT ((-79.493741788 43.614793046)),Full day
125,220 Cowan Ave,MULTIPOINT ((-79.433145853 43.640780034)),Evening available
126,110 Mornelle Crt,MULTIPOINT ((-79.194414059 43.786495688)),Evening available
127,180 Carlaw Ave,MULTIPOINT ((-79.34016669 43.660166916)),Full day
128,32 Heath St W,MULTIPOINT ((-79.396549387 43.690217265)),Weekend available
129,646 St Clair Ave W,MULTIPOINT ((-79.424475498 43.682271269)),Morning only
130,1290 Weston Rd,MULTIPOINT ((-79.495816206 43.689026995)),Weekend available
131,16 Spadina Rd,MULTIPOINT ((-79.405044271 43.66814977)),Other
132,440 Shuter St,MULTIPOINT ((-79.360552779 43.658251185)),Full day
133,123B Rexdale Blvd,MULTIPOINT ((-79.5652441779 43.7113836679)),Weekend available
134,1665 O'Connor Dr,MULTIPOINT ((-79.3041553523 43.7165159199)),Full day
135,110 Byng Ave,MULTIPOINT ((-79.281588756 43.695467597)),Full day
136,341 Oakwood Ave,MULTIPOINT ((-79.4381553633 43.6865837941)),Full day
137,1444 Queen St E,MULTIPOINT ((-79.322771049 43.665266265)),Other
138,30 College St,MULTIPOINT ((-79.384557612 43.6613419611)),Evening available
139,62 Orchard Park Dr,MULTIPOINT ((-79.179604611 43.774182614)),Weekend available
140,125 Glenmount Ave,MULTIPOINT ((-79.431699389 43.716370351)),Morning only
141,220 Langley Ave,MULTIPOINT ((-79.341893614 43.670351882)),Full day
142,1117 Gerrard St E,MULTIPOINT ((-79.333484346 43.669453399)),Full day
143,78 Seaforth Ave,MULTIPOINT ((-79.436798578 43.643187286)),Full day
144,31 Redgrave Dr,MULTIPOINT ((-79.569757847 43.682287772)),Full day
145,100 Pauline Ave,MULTIPOINT ((-79.43914367 43.662489102)),Morning only
146,374 Sheppard Ave E,MULTIPOINT ((-79.3935337 43.766082378)),Morning only
147,288 Pleasant Ave,MULTIPOINT ((-79.434557685 43.789955418)),Full day
148,5450 Lawrence Ave E,MULTIPOINT ((-79.140213452 43.779512568)),Morning only
149,100 Sidney Belsey Cres,MULTIPOINT ((-79.509766886 43.692296186)),Full day
150,291 Sherbourne St,MULTIPOINT ((-79.371478374 43.6606135066)),Other
151,60 Rockford Rd,MULTIPOINT ((-79.452441411 43.785800519)),Full day
152,151 Hiawatha Rd,MULTIPOINT ((-79.32307648 43.673873274)),Full day
153,200 Ronson Dr,MULTIPOINT ((-79.5696409274 43.6940080591)),Weekend available
154,675 Ontario St,MULTIPOINT ((-79.372788102 43.670316471)),Full day
155,990 Jane St,MULTIPOINT ((-79.4990642754 43.6812353739)),Full day
156,11 Roywood Dr,MULTIPOINT ((-79.3217764059 43.7647326766)),Full day
157,96 Denison Ave,MULTIPOINT ((-79.402379732 43.651281707)),Full day
158,80 Sackville St,MULTIPOINT ((-79.361734192 43.655488937)),Full day
159,2152 Kipling Ave,MULTIPOINT ((-79.5714638712 43.7199497931)),Evening available
160,707 Dundas St W,MULTIPOINT ((-79.404893891 43.651785704)),Weekend available
161,3478 Lawrence Ave E,MULTIPOINT ((-79.227453282 43.759771922)),Weekend available
162,4110 Lawrence Ave E,MULTIPOINT ((-79.193922136 43.767386062)),Evening available
163,156A Galloway Rd,MULTIPOINT ((-79.195138827 43.762449888)),Full day
