,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
20,CU,2025-11-01,81.8,-1.5,5.98,"Guerrero Jr., Vladimir",665489,607192,,blocked_ball,,,,,14,Ball In Dirt,W,R,R,TOR,LAD,B,,,2,1,2025,0.51,-1.5,2.01,0.83,,665926.0,543807.0,2,4,Bot,,,,,,,7.106375004052449,-118.844620699782,-2.103159273499948,3.310183430523343,24.636594687202237,-46.10523054765793,3.67,1.69,,,,83.5,2772,7.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.82,,,,,,,,37,4,Curveball,3,1,3,1,1,3,3,1,Standard,Standard,20,0.008,0.109,,,,-0.109,,2,2,0.7814697816736415,0.7814697816736415,31,26,32,26,1,2,1,1,,,4.94,-0.51,-0.51,62.7,,,,,
21,FF,2025-11-01,96.6,-1.43,5.97,"Guerrero Jr., Vladimir",665489,607192,,ball,,,,,12,Ball,W,R,R,TOR,LAD,B,,,1,1,2025,-0.26,1.51,0.4,3.77,,665926.0,543807.0,2,4,Bot,,,,,,,5.618545047858427,-140.65721405154872,-3.873947319287661,-4.673261982161025,30.521772903417105,-11.437532029876648,3.65,1.67,,,,99.6,2448,7.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.68,,,,,,,,37,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,194,0.008,0.03,,,,-0.03,,2,2,0.7814697816736415,0.7814697816736415,31,26,32,26,1,2,1,1,,,0.92,0.26,0.26,54.5,,,,,
22,SI,2025-11-01,96.2,-1.61,5.92,"Guerrero Jr., Vladimir",665489,607192,,called_strike,,,,,5,Called Strike,W,R,R,TOR,LAD,S,,,1,0,2025,-1.06,1.16,0.04,2.3,,665926.0,543807.0,2,4,Bot,,,,,,,6.991050372190288,-139.8607929033866,-6.831650485479049,-15.523048707311675,30.68636612150439,-15.616301609008076,3.67,1.6,,,,98.9,2235,7.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.73,,,,,,,,37,2,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,194,0.008,-0.052,,,,0.052,,2,2,0.7814697816736415,0.7814697816736415,31,26,32,26,1,2,1,1,,,1.3,1.06,1.06,51.9,,,,,
23,SI,2025-11-01,96.3,-1.82,5.96,"Guerrero Jr., Vladimir",665489,607192,,ball,,,,,11,Ball,W,R,R,TOR,LAD,B,,,0,0,2025,-1.0,1.11,-0.82,4.36,,665926.0,543807.0,2,4,Bot,,,,,,,5.061118207922751,-140.23260160332995,-1.2452772846022324,-14.3138417260634,30.583482439100823,-17.39408579827528,3.67,1.61,,,,98.9,2371,7.6,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.89,,,,,,,,37,1,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,191,0.008,0.024,,,,-0.024,,2,2,0.7814697816736415,0.7814697816736415,31,26,32,26,1,2,1,1,,,1.34,1.0,1.0,52.7,,,,,
24,CU,2025-10-31,77.8,-1.6,5.35,"Guerrero Jr., Vladimir",665489,808967,double,hit_into_play,,,,,14,Vladimir Guerrero Jr. doubles (4) on a line drive to left fielder Enrique Hernández.,W,R,R,TOR,LAD,X,7.0,line_drive,1,1,2025,1.02,-1.49,0.84,1.89,,,,2,6,Bot,45.63,107.71,,,,,3.3703543617574536,-113.08193480471108,2.4015487962408786,7.902410273723316,24.426124843565688,-45.58419920376625,3.66,1.6,299.0,88.3,21.0,77.7,2867,6.7,813025,669257,518692,500743,571970,605141,571771,669242,606192,53.83,0.4,0.41,1.25,1.0,1.0,1.0,3.0,44,3,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,35,0.022,0.595,74.0,8.3,0.545,-0.595,88.3,-2,-2,0.1999148093204427,0.1999148093204427,26,26,27,26,3,2,6,2,1.0,1.0,5.33,-1.02,-1.02,47.0,5.212841142778784,-26.555328832547268,28.72796542788341,43.09026804930312,49.82570603401436
25,FC,2025-10-31,90.2,-1.93,5.09,"Guerrero Jr., Vladimir",665489,808967,,ball,,,,,14,Ball,W,R,R,TOR,LAD,B,,,0,1,2025,0.63,0.15,1.66,1.23,,,,2,6,Bot,,,,,,,7.616118288991689,-131.1511321437649,-4.00369991725622,5.761588701930321,26.729194282352346,-29.79682911197346,3.56,1.43,,,,90.8,2567,6.6,813025,669257,518692,500743,571970,605141,571771,669242,606192,53.87,,,,,,,,44,2,Cutter,1,3,1,3,3,1,1,3,Standard,Standard,160,-0.01,0.027,,,,-0.027,,-2,-2,0.1999148093204427,0.1999148093204427,26,26,27,26,3,2,6,2,1.0,1.0,2.65,-0.63,-0.63,35.5,,,,,
26,FS,2025-10-31,90.3,-1.96,5.12,"Guerrero Jr., Vladimir",665489,808967,,called_strike,,,,,4,Called Strike,W,R,R,TOR,LAD,S,,,0,0,2025,-0.71,0.2,-0.74,2.73,,,,2,6,Bot,,,,,,,4.576376915258257,-131.50131044294338,-0.4220605277492329,-9.160901109641234,28.044545789384244,-29.98606865004358,3.63,1.41,,,,90.7,1271,6.5,813025,669257,518692,500743,571970,605141,571771,669242,606192,53.99,,,,,,,,44,1,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,247,-0.01,-0.043,,,,0.043,,-2,-2,0.1999148093204427,0.1999148093204427,26,26,27,26,3,2,6,2,1.0,1.0,2.59,0.71,0.71,36.6,,,,,
27,FS,2025-10-31,91.7,-1.81,5.33,"Guerrero Jr., Vladimir",665489,808967,strikeout,called_strike,,,,,7,Vladimir Guerrero Jr. called out on strikes.,W,R,R,TOR,LAD,S,2.0,,1,2,2025,-0.66,-0.12,-0.51,1.62,,,,0,4,Bot,,,,,,,4.739974578749353,-133.48005199594635,-3.271255705253833,-8.902977152882164,29.63793464303556,-33.11755135869647,3.63,1.49,,,,92.1,1380,6.6,813025,669257,518692,500743,571970,605141,571771,669242,606192,53.89,,0.0,0.0,1.0,0.0,0.0,,29,4,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,243,-0.04,-0.189,,,,0.189,,-2,-2,0.3107221542211919,0.3107221542211919,26,26,27,26,2,1,6,2,1.0,1.0,2.84,0.66,0.66,39.9,,,,,
28,FS,2025-10-31,91.9,-1.87,5.21,"Guerrero Jr., Vladimir",665489,808967,,swinging_strike,,,,,8,Swinging Strike,W,R,R,TOR,LAD,S,,,1,1,2025,-1.0,-0.09,0.16,1.56,,,,0,4,Bot,,,,,,,7.365401922038884,-133.60113833532185,-3.132337700297076,-13.634643646063434,31.830596093948877,-32.721339059232754,3.66,1.6,,,,92.0,1405,6.6,813025,669257,518692,500743,571970,605141,571771,669242,606192,53.86,,,,,,,,29,3,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,237,-0.011,-0.061,81.4,8.0,,0.061,,-2,-2,0.3107221542211919,0.3107221542211919,26,26,27,26,2,1,6,2,1.0,1.0,2.82,1.0,1.0,36.8,7.736819168240388,-18.97447363423873,35.778835974093745,35.3315813907971,41.533028185818175
29,SI,2025-10-31,93.6,-1.79,5.29,"Guerrero Jr., Vladimir",665489,808967,,ball,,,,,11,Ball,W,R,R,TOR,LAD,B,,,0,1,2025,-1.17,1.11,-1.24,3.36,,,,0,4,Bot,,,,,,,4.004837184853487,-136.1042895389708,-1.607994622253882,-15.33507787807972,34.11420580440851,-18.39039418527431,3.59,1.51,,,,93.5,2234,6.6,813025,669257,518692,500743,571970,605141,571771,669242,606192,53.88,,,,,,,,29,2,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,212,-0.011,0.031,,,,-0.031,,-2,-2,0.3107221542211919,0.3107221542211919,26,26,27,26,2,1,6,2,1.0,1.0,1.53,1.17,1.17,40.3,,,,,
