neighbourhood_name,children_0_4,median_age_population,median_after_tax_income_2020_over_15,after_tax_bottom_half_distribution,    In bottom decile,    In second decile,    In third decile,    In fourth decile,    In fifth decile,    In sixth decile,    In seventh decile,    In eighth decile,    In ninth decile,    In top decile,inequality_index,count_of_children,single_moms,is_nia,AREA_NAME,childcare_centres_count,centres_per_100_children,centres_per_1000_children
Oakwood Village,1100,40.8,34400,10540,2380,2320,2150,2030,1655,1855,1680,2125,2310,2200,0.3,4640,1075,False,Oakwood Village,2.0,0.18181818181818182,1.8181818181818181
Briar Hill-Belgravia,715,41.2,34400,7700,1635,1400,1370,1615,1690,1515,1390,1460,1405,1115,0.3,3235,780,False,Briar Hill-Belgravia,1.0,0.13986013986013987,1.3986013986013985
Caledonia-Fairbank,515,40.4,34400,5100,1080,1135,1095,850,930,1055,1090,960,1090,720,0.3,2355,505,False,Caledonia-Fairbank,1.0,0.1941747572815534,1.941747572815534
Keelesdale-Eglinton West,570,41.2,31000,6310,1320,1325,1165,1350,1140,1315,1110,1245,840,565,0.3,2605,580,True,Keelesdale-Eglinton West,2.0,0.3508771929824561,3.5087719298245617
Rockcliffe-Smythe,1115,42,32000,12845,3110,3150,2615,1995,1970,2000,2055,2435,1765,1140,0.3,4570,1375,True,Rockcliffe-Smythe,3.0,0.26905829596412556,2.690582959641256
Beechborough-Greenbrook,290,39.6,31400,4050,975,955,950,600,570,685,570,355,355,245,0.3,1115,580,True,Beechborough-Greenbrook,1.0,0.3448275862068966,3.4482758620689653
Weston,1120,38.8,32400,11860,3165,2830,2060,2125,1680,1560,1615,1290,1320,1030,0.3,3375,1360,True,Weston,1.0,0.08928571428571429,0.8928571428571428
Lambton Baby Point,435,40.8,43600,3085,755,705,625,445,560,570,565,500,965,2280,0.4,2190,410,False,Lambton Baby Point,1.0,0.22988505747126436,2.2988505747126435
Mount Dennis,710,39.2,32400,8335,1670,1800,1600,1635,1630,1480,1200,1000,750,295,0.2,2680,1085,True,Mount Dennis,2.0,0.28169014084507044,2.8169014084507045
Steeles,735,49.2,27800,13680,3555,3140,2685,2125,2175,1945,1995,1810,1955,1380,0.3,4990,985,False,,0.0,0.0,0.0
Tam O'Shanter-Sullivan,1255,44,31000,16420,3600,3630,3195,2995,2995,2475,2000,2380,2340,1585,0.3,6345,1300,False,Tam O'Shanter-Sullivan,2.0,0.1593625498007968,1.5936254980079683
Wexford/Maryvale,1260,41.2,32800,15490,3180,3115,3195,3020,2980,2840,2800,2700,3025,1490,0.3,6620,1505,False,Wexford/Maryvale,1.0,0.07936507936507936,0.7936507936507936
Clairlea-Birchmount,1440,39.2,34000,14025,2830,2840,3195,2675,2485,2555,3025,2760,2645,1830,0.3,6885,1335,False,Clairlea-Birchmount,1.0,0.06944444444444445,0.6944444444444444
Oakridge,790,37.2,28200,10085,2620,2640,1960,1860,1000,1050,1080,510,660,315,0.3,3015,745,True,Oakridge,4.0,0.5063291139240507,5.063291139240507
Birchcliffe-Cliffside,1100,44.4,39600,9420,2055,1785,2070,1860,1650,2025,2250,2295,2570,4140,0.4,5500,970,False,Birchcliffe-Cliffside,1.0,0.09090909090909091,0.9090909090909091
Cliffcrest,720,43.2,35200,7485,1525,1675,1625,1295,1360,1405,1515,1750,1770,2210,0.3,4105,680,False,Cliffcrest,2.0,0.2777777777777778,2.7777777777777777
Kennedy Park,745,41.6,30200,10825,2855,2060,2030,1975,1905,1630,1450,1400,1240,565,0.3,3545,1070,True,Kennedy Park,2.0,0.2684563758389262,2.6845637583892614
Ionview,735,39.2,31600,8565,1715,1690,1640,1745,1780,1365,1545,675,760,445,0.2,3085,805,True,,0.0,0.0,0.0
Dorset Park,1215,40.4,31000,14820,3005,3150,3110,2995,2550,2415,2420,2195,1705,755,0.3,5740,1365,False,Dorset Park,1.0,0.0823045267489712,0.823045267489712
Agincourt South-Malvern West,945,40.8,30400,14795,3185,2995,3185,2645,2785,2115,2080,1930,1910,1335,0.3,5325,1105,False,Agincourt South-Malvern West,3.0,0.31746031746031744,3.1746031746031744
Agincourt North,965,46.4,28200,15935,3410,3295,3580,3095,2560,3060,2635,2495,2075,1340,0.3,6340,1345,False,Agincourt North,2.0,0.20725388601036268,2.0725388601036268
Milliken,970,46,27200,15125,3720,3890,2740,2480,2290,2335,1750,1875,1715,1180,0.3,5375,1160,False,Milliken,5.0,0.5154639175257731,5.154639175257732
Centennial Scarborough,615,44.4,43200,3430,555,605,610,820,835,1280,1640,1975,2380,2680,0.3,3800,535,False,Centennial Scarborough,1.0,0.16260162601626016,1.6260162601626016
Highland Creek,415,44.8,33200,4875,1185,920,835,815,1130,1340,1270,1670,1820,1655,0.3,3150,400,False,Highland Creek,1.0,0.24096385542168677,2.4096385542168677
Morningside,835,38.8,32000,9960,2225,1995,1935,1945,1865,1980,1620,1540,1655,905,0.3,4160,950,True,Morningside,2.0,0.23952095808383234,2.395209580838323
West Hill,1330,40,31000,16055,4080,3395,3050,2990,2540,2795,2785,2755,2495,1250,0.3,5915,1955,True,West Hill,8.0,0.6015037593984963,6.015037593984963
Eglinton East,1110,38.8,31400,14290,2820,3170,3395,2590,2310,2410,1830,1975,1325,710,0.3,5075,1600,True,Eglinton East,2.0,0.18018018018018017,1.8018018018018018
Scarborough Village,885,38,30800,10940,2410,2470,2350,1920,1790,1615,1065,1135,810,960,0.3,3755,1140,True,Scarborough Village,3.0,0.3389830508474576,3.389830508474576
Guildwood,465,48.8,42800,3500,500,635,695,820,840,840,1100,1240,1490,1520,0.3,2290,435,False,Guildwood,1.0,0.21505376344086022,2.150537634408602
Golfdale-Cedarbrae-Woburn,1470,36.4,29400,17310,4285,3665,3380,3090,2885,2475,2250,2325,1780,950,0.3,6085,1440,True,Golfdale-Cedarbrae-Woburn,2.0,0.13605442176870747,1.3605442176870748
Woburn North,1295,37.6,30800,16525,4030,3445,3300,3135,2625,2610,2680,1995,1760,1010,0.3,6075,1425,True,Woburn North,3.0,0.23166023166023164,2.3166023166023164
West Rouge,830,44,37600,7560,1255,1400,1560,1505,1840,2175,2405,2460,3015,3060,0.3,5195,950,False,,0.0,0.0,0.0
Morningside Heights,1225,38,32400,10940,1515,1625,2385,2680,2735,2975,3290,3150,3060,1530,0.2,6780,1050,False,Morningside Heights,2.0,0.163265306122449,1.6326530612244898
Malvern West,820,38,29800,10630,1690,2000,2500,2290,2155,1990,1630,1500,1085,480,0.2,4295,945,False,Malvern West,2.0,0.24390243902439024,2.4390243902439024
Malvern East,1095,40,31200,14490,2670,3100,2995,2765,2960,2880,2895,2335,2525,970,0.2,6030,1680,False,Malvern East,4.0,0.365296803652968,3.65296803652968
L'Amoreaux West,780,47.6,29600,12945,3000,2840,2515,2380,2220,1785,1815,1695,1800,1505,0.3,4880,1170,False,L'Amoreaux West,1.0,0.1282051282051282,1.2820512820512822
East L'Amoreaux,780,43.6,29400,12925,2970,2700,2545,2695,2020,2155,2135,1760,1405,1110,0.3,5035,1190,False,East L'Amoreaux,3.0,0.38461538461538464,3.8461538461538463
Parkwoods-O'Connor Hills,605,43.2,35600,6765,1315,1180,1375,1500,1390,1060,1020,1245,1640,2240,0.3,3765,760,False,,0.0,0.0,0.0
Fenside-Parkwoods,940,39.2,33600,12160,2485,2450,2810,2240,2170,1900,1685,1840,1850,1080,0.3,4275,1480,False,Fenside-Parkwoods,1.0,0.10638297872340426,1.0638297872340425
Yonge-Doris,735,38,33600,11590,4135,2040,1750,2200,1470,1465,1660,1755,1890,1800,0.3,4170,845,False,Yonge-Doris,1.0,0.13605442176870747,1.3605442176870748
East Willowdale,665,41.2,33600,7200,2545,1405,1255,1075,920,1200,1235,1225,1535,3085,0.4,3930,690,False,East Willowdale,1.0,0.15037593984962408,1.5037593984962407
Avondale,630,35.2,41600,6700,2445,1165,1020,1155,925,950,1170,1225,1915,1835,0.4,2700,460,False,,0.0,0.0,0.0
Oakdale-Beverley Heights,1215,39.6,31400,13175,2845,2980,2880,2280,2185,1925,2005,1955,1490,875,0.3,4360,1560,True,Oakdale-Beverley Heights,2.0,0.1646090534979424,1.646090534979424
Downsview,935,40,34800,9720,1655,2005,2050,2050,1960,1785,1895,1805,1560,1195,0.3,3900,1020,True,Downsview,1.0,0.10695187165775401,1.0695187165775402
Bendale-Glen Andrew,860,38,31800,10865,2680,2655,2050,1885,1595,1765,1935,1650,1615,855,0.3,4060,820,False,Bendale-Glen Andrew,1.0,0.11627906976744186,1.1627906976744187
Bendale South,420,39.2,31200,6085,1040,1275,1465,1255,1055,960,1250,1000,900,530,0.3,2485,510,False,Bendale South,2.0,0.4761904761904762,4.761904761904763
Islington,960,43.6,40400,8870,1885,1970,1605,1570,1845,2070,2030,2690,2705,5105,0.3,5860,935,False,Islington,1.0,0.10416666666666667,1.0416666666666667
Etobicoke City Centre,1245,36.4,41200,11265,2810,2285,1870,2115,2180,2235,2370,2520,2870,2335,0.3,4145,925,False,,0.0,0.0,0.0
Mimico-Queensway,970,40.8,40400,7360,1940,1410,1425,1200,1390,1295,1440,2105,2000,2840,0.3,3750,615,False,Mimico-Queensway,2.0,0.2061855670103093,2.061855670103093
Humber Bay Shores,795,38,46400,10080,2825,1930,1745,1580,2005,1835,1975,2440,2740,3525,0.4,2595,750,False,,0.0,0.0,0.0
West Queen West,495,36,56000,4630,1420,885,840,705,770,985,1180,1300,1805,3270,0.4,1440,415,False,West Queen West,1.0,0.20202020202020202,2.0202020202020203
Fort York-Liberty Village,645,32.4,54800,7105,2000,1290,1190,1210,1420,1655,2085,2110,2880,4080,0.3,1805,380,False,,0.0,0.0,0.0
